Gene Number,Protein ID,Protein Description,COG Category,eggNOG HMM Description,Goterms,Kegg Ko,Localization,Protein Length,Biller et al. 2014 Science paper Table S2 MED4 vesicle detected proteins,Blast % Identity Uniprot,NCBI reference sequence,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Did we detect the same vesicle proteins as in Table S2 from homologus MED4 Biller et al. Science 2014,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number specs adjusted (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number of specs adjusted normalized to Hi3 (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle.biovolume (Abacus 9312 Vesicle),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells trypsin),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells gluc)
PMT9312_0374,Q31CG0,Q31CG0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0374 PE=4 SV=1,S,,,,Cytoplasmic,330,,,,,,,,,9.67,0.2,1.89E-09,8.56E-09,5.67,0.09,8.10E-10,3.66E-09
PMT9312_1693,Q318E1,"Q318E1_PROM9 Alpha-1,4 glucan phosphorylase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1693 PE=3 SV=1",G,"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)",,K00688,Cytoplasmic,848,,,,,,,,,9.67,0.2,1.89E-09,8.56E-09,3.67,0.06,5.24E-10,2.37E-09
hisI,Q31BV6,Q31BV6_PROM9 Histidine biosynthesis bifunctional protein HisIE OS=Prochlorococcus marinus (strain MIT 9312) GN=hisI PE=3 SV=1,E,Bifunctional phosphoribosyl-AMP cyclohydrolase phosphoribosyl-ATP pyrophosphatase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K11755,Cytoplasmic,219,,,,,,,,,9.67,0.2,1.89E-09,8.56E-09,,,,
PMT9312_0501,Q31C33,Q31C33_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0501 PE=4 SV=1,S,Protein of unknown function (DUF2854),"GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464",,CytoplasmicMembrane,176,,,,,,,,,9.33,0.19,1.83E-09,8.26E-09,12,0.18,1.71E-09,7.76E-09
PMT9312_0211,Q31CX2,Q31CX2_PROM9 Kinase-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0211 PE=4 SV=1,S,ABC-1 domain protein,,,CytoplasmicMembrane,555,,,,,,,,,9.33,0.19,1.83E-09,8.26E-09,8.67,0.13,1.24E-09,5.60E-09
PMT9312_0280,Q31CQ4,Q31CQ4_PROM9 Phosphomannomutase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0280 PE=3 SV=1,G,Phosphoglucomutase phosphomannomutase,"GO:0003674,GO:0003824,GO:0004614,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0008150,GO:0008152,GO:0009056,GO:0016052,GO:0016853,GO:0016866,GO:0016868,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901575",,Cytoplasmic,484,,,,,,,,,9.33,0.19,1.83E-09,8.26E-09,8.33,0.13,1.19E-09,5.39E-09
petB,Q31CK3,CYB6_PROM9 Cytochrome b6 OS=Prochlorococcus marinus (strain MIT 9312) GN=petB PE=3 SV=1,C,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009512,GO:0009579,GO:0016020,GO:0032991,GO:0034357,GO:0042651,GO:0043234,GO:0044424,GO:0044436,GO:0044464,GO:0071944",K02635,CytoplasmicMembrane,218,,,,,,,,,9.33,0.19,1.83E-09,8.26E-09,6,0.09,8.57E-10,3.88E-09
PMT9312_1440,Q319E5,Q319E5_PROM9 Circadian clock protein KaiC OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1440 PE=4 SV=1,K,"Core component of the KaiABC clock protein complex, which constitutes the main circadian regulator in cyanobacteria. Binds to DNA. The KaiABC complex may act as a promoter-nonspecific transcription regulator that represses transcription, possibly by acting on the state of chromosome compaction (By similarity)","GO:0003674,GO:0003824,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0007623,GO:0008150,GO:0008152,GO:0009605,GO:0009649,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0019538,GO:0036211,GO:0042752,GO:0042754,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0046777,GO:0048511,GO:0048519,GO:0050789,GO:0050896,GO:0065007,GO:0071704",K08482,Cytoplasmic,498,,,,,,,,,9.33,0.19,1.83E-09,8.26E-09,2.67,0.04,3.81E-10,1.72E-09
PMT9312_1290,Q319U6,Q319U6_PROM9 Zinc metalloprotease OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1290 PE=3 SV=1,M,Membrane-associated zinc,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",,CytoplasmicMembrane,359,,,,,,,,,9.33,0.19,1.83E-09,8.26E-09,1,0.02,1.43E-10,6.46E-10
smc,Q31DC5,Q31DC5_PROM9 Chromosome partition protein Smc OS=Prochlorococcus marinus (strain MIT 9312) GN=smc PE=3 SV=1,D,Required for chromosome condensation and partitioning (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K03529,Cytoplasmic,1196,,,,,,,,,9.33,0.19,1.83E-09,8.26E-09,,,,
adk,Q318K3,Q318K3_PROM9 Adenylate kinase OS=Prochlorococcus marinus (strain MIT 9312) GN=adk PE=3 SV=1,F,Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00939,Cytoplasmic,182,,,,,,,,,9.33,0.19,1.83E-09,8.26E-09,,,,
dxr,Q319Z8,DXR_PROM9 1-deoxy-D-xylulose 5-phosphate reductoisomerase OS=Prochlorococcus marinus (strain MIT 9312) GN=dxr PE=3 SV=1,I,Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP) (By similarity),,K00099,Unknown,408,,,,,,,,,9,0.18,1.76E-09,7.97E-09,7.67,0.12,1.10E-09,4.96E-09
PMT9312_0133,Q31D50,Q31D50_PROM9 Heavy metal translocating P-type ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0133 PE=3 SV=1,P,p-type ATPase,"GO:0000041,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006825,GO:0008150,GO:0009987,GO:0015677,GO:0016020,GO:0030001,GO:0034220,GO:0035434,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0051179,GO:0051234,GO:0055085,GO:0071944",K01533,CytoplasmicMembrane,768,,,,,,,,,9,0.18,1.76E-09,7.97E-09,5,0.08,7.14E-10,3.23E-09
nadK2,Q319M2,NADK2_PROM9 NAD kinase 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=nadK2 PE=3 SV=1,G,Catalyzes the phosphorylation of NAD to NADP. Utilizes ATP and other nucleoside triphosphates as well as inorganic polyphosphate as a source of phosphorus (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00858,Cytoplasmic,302,,,,,,,,,9,0.18,1.76E-09,7.97E-09,4,0.06,5.71E-10,2.59E-09
PMT9312_1302,Q319T4,Q319T4_PROM9 Pyruvate dehydrogenase (Lipoamide) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1302 PE=4 SV=1,C,Dehydrogenase E1 component,,,Cytoplasmic,347,,,,,,,,,9,0.18,1.76E-09,7.97E-09,3.33,0.05,4.76E-10,2.15E-09
PMT9312_1730,Q318A4,"Q318A4_PROM9 Transcriptional regulator, GntR family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1730 PE=4 SV=1",K,"transcriptional regulator, gntR family",,K07978,Cytoplasmic,328,,,,,,,,,9,0.18,1.76E-09,7.97E-09,1,0.02,1.43E-10,6.46E-10
ndhM,Q31D36,NDHM_PROM9 NAD(P)H-quinone oxidoreductase subunit M OS=Prochlorococcus marinus (strain MIT 9312) GN=ndhM PE=3 SV=1,C,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. Cyanobacterial NDH-1 also plays a role in inorganic carbon- concentration (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0071944",K05584,Cytoplasmic,115,,,,,,,,,9,0.18,1.76E-09,7.97E-09,,,,
leuC,Q31CS6,LEUC_PROM9 3-isopropylmalate dehydratase large subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=leuC PE=3 SV=1,E,"Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)",,K01703,Cytoplasmic,469,,,,,,,,,9,0.18,1.76E-09,7.97E-09,,,,
argC,Q31AX7,ARGC_PROM9 N-acetyl-gamma-glutamyl-phosphate reductase OS=Prochlorococcus marinus (strain MIT 9312) GN=argC PE=3 SV=1,E,N-acetyl-glutamate semialdehyde dehydrogenase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00145,Cytoplasmic,351,,,,,,,,,9,0.18,1.76E-09,7.97E-09,,,,
accD,Q31B93,ACCD_PROM9 Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Prochlorococcus marinus (strain MIT 9312) GN=accD PE=3 SV=1,I,Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01963,Cytoplasmic,293,,,,,,,,,9,0.18,1.76E-09,7.97E-09,,,,
PMT9312_0976,Q31AQ9,Q31AQ9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0976 PE=4 SV=1,S,Protein of unknown function (DUF3318),"GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464",,Unknown,212,,,,,,,,,8.67,0.18,1.70E-09,7.67E-09,17.67,0.27,2.52E-09,1.14E-08
PMT9312_0042,Q31DE2,Q31DE2_PROM9 Reductase-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0042 PE=4 SV=1,S,reductase,,,Unknown,174,,,,,,,,,8.67,0.18,1.70E-09,7.67E-09,7.33,0.11,1.05E-09,4.74E-09
PMT9312_1000,Q31AN5,Q31AN5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1000 PE=3 SV=1,E,peptidase E,,K01256,Cytoplasmic,226,,,,,,,,,8.67,0.18,1.70E-09,7.67E-09,6.33,0.1,9.05E-10,4.09E-09
PMT9312_0772,Q31BB3,Q31BB3_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0772 PE=4 SV=1,S,ABC transporter,,K06861,Unknown,244,,,,,,,,,8.67,0.18,1.70E-09,7.67E-09,5.33,0.08,7.62E-10,3.45E-09
PMT9312_1565,Q318S0,Q318S0_PROM9 Adenosylmethionine-8-amino-7-oxononanoate aminotransferase apoenzyme OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1565 PE=3 SV=1,H,diaminopelargonic acid synthase,,K00833,Cytoplasmic,433,,,,,,,,,8.67,0.18,1.70E-09,7.67E-09,2.67,0.04,3.81E-10,1.72E-09
trpA,Q31BW2,Q31BW2_PROM9 Tryptophan synthase alpha chain OS=Prochlorococcus marinus (strain MIT 9312) GN=trpA PE=3 SV=1,E,The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate (By similarity),,K01695,Cytoplasmic,280,,,,,,,,,8.67,0.18,1.70E-09,7.67E-09,2,0.03,2.86E-10,1.29E-09
PMT9312_0533,Q31C01,Q31C01_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0533 PE=4 SV=1,S,K14330 fatty aldehyde-generating acyl-ACP reductase EC 1.2.1.80,,K14330,Cytoplasmic,346,,,,,,,,,8.67,0.18,1.70E-09,7.67E-09,1.33,0.02,1.90E-10,8.62E-10
purC,Q319E8,Q319E8_PROM9 Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=purC PE=3 SV=1,F,SAICAR synthetase,,,Cytoplasmic,242,,,,,,,,,8.67,0.18,1.70E-09,7.67E-09,,,,
PMT9312_1750,Q317Y4,"Q317Y4_PROM9 DNA polymerase III, tau subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1750 PE=4 SV=1",L,"DNA polymerase III, subunits gamma and tau",,K02343,Cytoplasmic,579,,,,,,,,,8.67,0.18,1.70E-09,7.67E-09,,,,
PMT9312_1466,Q319B9,Q319B9_PROM9 GAF domain OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1466 PE=4 SV=1,T,GAF domain-containing protein,,,Cytoplasmic,249,,,,,,,,,8.67,0.18,1.70E-09,7.67E-09,,,,
purF,Q31DI0,Q31DI0_PROM9 Amidophosphoribosyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=purF PE=3 SV=1,F,Glutamine phosphoribosylpyrophosphate amidotransferase,,K00764,Cytoplasmic,486,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,10,0.15,1.43E-09,6.46E-09
PMT9312_1691,Q318E3,Q318E3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1691 PE=4 SV=1,S,alpha beta hydrolase superfamily protein,,,Unknown,299,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,9,0.14,1.29E-09,5.82E-09
PMT9312_0738,Q31BE7,"Q31BE7_PROM9 Helix-turn-helix protein, CopG family-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0738 PE=4 SV=1",S,,,,Cytoplasmic,122,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,7.33,0.11,1.05E-09,4.74E-09
PMT9312_1325,Q319R1,Q319R1_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1325 PE=4 SV=1,S,,,,Unknown,431,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,5.67,0.09,8.10E-10,3.66E-09
PMT9312_0593,Q31BU1,"Q31BU1_PROM9 Oligopeptidase A, Metallo peptidase, MEROPS family M03A OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0593 PE=3 SV=1",E,Oligopeptidase A,,K01414,Cytoplasmic,695,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,5.67,0.09,8.10E-10,3.66E-09
PMT9312_1103,Q31AD3,Q31AD3_PROM9 Isoprenyl transferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1103 PE=3 SV=1,I,Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids (By similarity),,K00806,Cytoplasmic,267,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,5.67,0.09,8.10E-10,3.66E-09
PMT9312_0904,Q31AY1,Q31AY1_PROM9 Heat shock protein DnaJ-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0904 PE=4 SV=1,O,DnaJ2 protein,,,Cytoplasmic,319,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,5,0.08,7.14E-10,3.23E-09
aroE,Q317T6,AROE_PROM9 Shikimate dehydrogenase (NADP(+)) OS=Prochlorococcus marinus (strain MIT 9312) GN=aroE PE=3 SV=1,E,shikimate dehydrogenase,,K00014,Cytoplasmic,286,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,4,0.06,5.71E-10,2.59E-09
mnmG,Q317W7,MNMG_PROM9 tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG OS=Prochlorococcus marinus (strain MIT 9312) GN=mnmG PE=3 SV=1,D,"NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34 (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K03495,Cytoplasmic,662,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,3.67,0.06,5.24E-10,2.37E-09
PMT9312_0894,Q31AZ1,Q31AZ1_PROM9 Photosystem I PsaK protein (Subunit X) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0894 PE=4 SV=1,S,Photosystem I subunit X,"GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464",K02698,CytoplasmicMembrane,86,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,2.33,0.04,3.33E-10,1.51E-09
argF,Q319M8,OTC_PROM9 Ornithine carbamoyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=argF PE=3 SV=1,E,ornithine carbamoyltransferase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00611,Cytoplasmic,308,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,,,,
PMT9312_0110,Q31D74,Q31D74_PROM9 6-pyruvoyl tetrahydropterin synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0110 PE=4 SV=1,H,synthase,,K01737,Cytoplasmic,308,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,,,,
map,Q31C57,Q31C57_PROM9 Methionine aminopeptidase OS=Prochlorococcus marinus (strain MIT 9312) GN=map PE=3 SV=1,J,Removes the N-terminal methionine from nascent proteins (By similarity),,K01265,Cytoplasmic,279,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,,,,
PMT9312_0851,Q31B34,"Q31B34_PROM9 RNA methyltransferase TrmH, group 3 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0851 PE=3 SV=1",J,RNA methyltransferase TrmH,,K03218,Cytoplasmic,336,,,,,,,,,8.33,0.17,1.63E-09,7.38E-09,,,,
PMT9312_0288,Q31CP6,Q31CP6_PROM9 NUDIX hydrolase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0288 PE=4 SV=1,F,Nudix hydrolase,,K01515,Cytoplasmic,187,,,,,,,,,8,0.16,1.57E-09,7.08E-09,13,0.2,1.86E-09,8.40E-09
ndhD,Q31D31,NU4C_PROM9 NAD(P)H-quinone oxidoreductase chain 4 OS=Prochlorococcus marinus (strain MIT 9312) GN=ndhD PE=3 SV=1,C,"NDH-1 shuttles electrons from NAD(P)H, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0071944",K05575,CytoplasmicMembrane,534,,,,,,,,,8,0.16,1.57E-09,7.08E-09,9,0.14,1.29E-09,5.82E-09
PMT9312_0949,Q31AT6,Q31AT6_PROM9 Putative CbbY OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0949 PE=4 SV=1,S,"HAD-superfamily hydrolase subfamily IA, variant 3",,,Cytoplasmic,254,,,,,,,,,8,0.16,1.57E-09,7.08E-09,7,0.11,1.00E-09,4.52E-09
argB,Q31C34,ARGB_PROM9 Acetylglutamate kinase OS=Prochlorococcus marinus (strain MIT 9312) GN=argB PE=3 SV=1,E,NAG kinase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00930,Cytoplasmic,283,,,,,,,,,8,0.16,1.57E-09,7.08E-09,4.33,0.07,6.19E-10,2.80E-09
PMT9312_0154,Q31D29,Q31D29_PROM9 Putative sugar-phosphate nucleotidyl transferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0154 PE=4 SV=1,M,Nucleotidyl transferase,,K00966,Cytoplasmic,392,,,,,,,,,8,0.16,1.57E-09,7.08E-09,3.67,0.06,5.24E-10,2.37E-09
menD,Q31BS7,MEND_PROM9 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=menD PE=3 SV=1,H,Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate (SEPHCHC) (By similarity),,K02551,Cytoplasmic,587,,,,,,,,,8,0.16,1.57E-09,7.08E-09,2.67,0.04,3.81E-10,1.72E-09
PMT9312_0674,Q31BL0,Q31BL0_PROM9 Aminotransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0674 PE=3 SV=1,E,Aminotransferase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00812,Cytoplasmic,392,,,,,,,,,8,0.16,1.57E-09,7.08E-09,,,,
PMT9312_0281,Q31CQ3,Q31CQ3_PROM9 Non-canonical purine NTP pyrophosphatase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0281 PE=3 SV=1,F,"Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity)",,K02428,Cytoplasmic,191,,,,,,,,,8,0.16,1.57E-09,7.08E-09,,,,
PMT9312_0107,Q31D77,Q31D77_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0107 PE=4 SV=1,H,Inherit from COG: dihydropteroate synthase,,,Cytoplasmic,128,,,,,,,,,8,0.16,1.57E-09,7.08E-09,,,,
PMT9312_1155,Q31A81,Q31A81_PROM9 ATP-dependent DNA ligase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1155 PE=4 SV=1,L,WGR,,K01971,Unknown,364,,,,,,,,,8,0.16,1.57E-09,7.08E-09,,,,
rplJ,Q31CX9,RL10_PROM9 50S ribosomal protein L10 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplJ PE=3 SV=1,J,50S ribosomal protein L10,,K02864,Cytoplasmic,175,,,,,,,,,7.67,0.16,1.50E-09,6.79E-09,14,0.21,2.00E-09,9.05E-09
PMT9312_0736,Q31BE9,Q31BE9_PROM9 Major surface glycoprotein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0736 PE=4 SV=1,S,,,,Unknown,95,,,,,,,,,7.67,0.16,1.50E-09,6.79E-09,12,0.18,1.71E-09,7.76E-09
PMT9312_0276,Q31CQ8,Q31CQ8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0276 PE=4 SV=1,P,Transporter associated domain,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",K03699,CytoplasmicMembrane,422,,,,,,,,,7.67,0.16,1.50E-09,6.79E-09,10,0.15,1.43E-09,6.46E-09
PMT9312_1122,Q31AB4,Q31AB4_PROM9 Glutaredoxin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1122 PE=3 SV=1,O,Glutaredoxin,,K07390,Unknown,107,,,,,,,,,7.67,0.16,1.50E-09,6.79E-09,8.67,0.13,1.24E-09,5.60E-09
menB,Q31BS6,"Q31BS6_PROM9 1,4-dihydroxy-2-naphthoyl-CoA synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=menB PE=3 SV=1",H,Naphthoate synthase,,K01661,Cytoplasmic,285,,,,,,,,,7.67,0.16,1.50E-09,6.79E-09,5.67,0.09,8.10E-10,3.66E-09
PMT9312_0453,Q31C81,Q31C81_PROM9 3-oxoacyl-[acyl-carrier-protein] reductase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0453 PE=4 SV=1,I,reductase,,K00059,Cytoplasmic,249,,,,,,,,,7.67,0.16,1.50E-09,6.79E-09,4,0.06,5.71E-10,2.59E-09
PMT9312_1183,Q31A53,Q31A53_PROM9 Leukotoxin secretion protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1183 PE=4 SV=1,U,"secretion protein, HlyD family",,,CytoplasmicMembrane,317,,,,,,,,,7.67,0.16,1.50E-09,6.79E-09,3.33,0.05,4.76E-10,2.15E-09
PMT9312_0604,Q31BT0,Q31BT0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0604 PE=4 SV=1,S,,,,Cytoplasmic,388,,,,,,,,,7.67,0.16,1.50E-09,6.79E-09,2,0.03,2.86E-10,1.29E-09
psbH,Q31CT1,PSBH_PROM9 Photosystem II reaction center protein H OS=Prochlorococcus marinus (strain MIT 9312) GN=psbH PE=3 SV=1,S,,,,CytoplasmicMembrane,66,,,,,,,,,7.67,0.16,1.50E-09,6.79E-09,,,,
PMT9312_1787,Q317U7,Q317U7_PROM9 Uroporphyrinogen-III C-methyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1787 PE=3 SV=1,H,uroporphyrin-III c-methyltransferase,,K02303,Cytoplasmic,267,,,,,,,,,7.67,0.16,1.50E-09,6.79E-09,,,,
dnaK,Q31AY2,Q31AY2_PROM9 Chaperone protein DnaK OS=Prochlorococcus marinus (strain MIT 9312) GN=dnaK PE=2 SV=1,O,Acts as a chaperone (By similarity),,K04043,Unknown,665,,,,,,,,,7.67,0.16,1.50E-09,6.79E-09,,,,
